ID,Species,Sex,DF,TF,CF,LF,SVL ,DL,Days,Precipitation,Temperature ,TrafficVol ,WeekDays,Weekend,MDTV,SF
July-S-02,TREE,F,2015-07-01,9:00,H,N,47,2015-07-31,30,42,20.29,5524,18,12,2664,1
July-S-04,TREE,F,2015-07-01,walk,F,M,52,2015-07-08,7,18.8,18.51,1411,4,3,2667.857143,1
July-S-06,NLFR,adult,2015-07-14,9:00,F,S,84,2015-07-18,4,6.6,17.84,887,3,1,2643.75,1
July-S-08,GREN,juv,2015-07-14,22:00,F,N,50,2015-07-19,5,6.6,18.58,1089,2.5,2,2403,2
July-N-10,NLFR,adult,2015-07-17,22:00,F,M,62,2015-07-22,5,8.4,20.28,1089,2,2.5,2762.666667,2
July-N-12,NLFR,juv,2015-07-17,22:00,F,M,38,2015-07-27,10,20.2,20.71,2017,4,5.5,2758.736842,2
July-S-14,NLFR,juv,2015-07-18,22:00,F,M,55,2015-07-27,9,20.2,21.17,1815,4,4.5,2681.470588,2
July-S-16,GREN,juv,2015-07-18,22:00,H,N,47,2015-07-25,7,8.4,21.63,1452,4,2.5,2661.923077,2
July-S-18,TOAD,M,2015-07-18,22:00,F,M,53,2015-07-25,7,8.4,21.63,1452,4,2.5,2661.923077,2
July-S-20,GREN,juv,2015-07-18,22:00,F,N,32,2015-07-21,3,5.2,20.95,726,1,1.5,2691,2
July-S-22,TOAD,F,2015-07-22,22:00,F,M,54,2015-08-02,11,20.8,22.11,2178,5.5,5,1845.102041,2
July-S-24,WOOD,juv,2015-07-26,9:00,H,M,42,2015-07-27,1,11.8,22.3,363,0,1,2745,1
July-S-26,NLFR,juv,2015-07-26,9:00,H,N,45,2015-08-02,7,17.6,22.76,1452,4,3,1568.571429,1
July-S-28,NLFR,adult,2015-07-26,9:00,H,M,70,2015-07-31,5,13.2,23.3,1048,4,1,2637,1
July-S-30,GREN,juv,2015-07-26,9:00,H,N,40,2015-07-30,4,11.8,22.9,846,3,1,2643.75,1
July-S-32,TOAD,juv,2015-07-26,22:00,F,M,36,2015-08-01,6,17.6,23.11,1250,4,1.5,1862.107438,2
July-S-34,TREE,juv,2015-07-26,22:00,F,S,32,2015-07-27,1,11.8,22.3,363,0,0.5,2745,2
July-S-36,NLFR,juv,2015-07-26,22:00,H,N,47,2015-08-03,8,31.6,22.4,1613,4,3.5,1605.8,2
July-S-38,NLFR,adult,2015-07-26,22:00,F,S,68,2015-08-03,8,31.6,22.4,1613,4,3.5,1605.8,2
July-S-40,GREN,juv,2015-07-26,22:00,H,M,44,2015-08-02,7,17.6,22.76,1452,4,2.5,1955.769231,2
July-N-42,GREN,F,2015-07-27,22:00,F,N,64,2015-07-30,3,0,23.15,644,2.5,0,2856,2
July-S-44,NLFR,adult,2015-07-28,22:00,F,S,86,2015-08-02,5,5.8,22.92,1089,2.5,2,1728.888889,2
July-S-46,NLFR,adult,2015-07-30,9:00,F,M,72,2015-08-12,13,96.4,20.46,2500,7,6,1645.615385,1
July-S-48,GREN,juv,2015-07-30,22:00,F,N,41,2015-08-04,5,19.8,22.02,1089,2.5,3,1343.555556,2
July-S-50,TREE,juv,2015-07-30,22:00,F,N,40,2015-08-01,2,5.8,23.8,565,0.5,1,2700,2
July-S-52,NLFR,juv,2015-07-30,22:00,F,M,38,2015-08-02,3,5.8,23.8,767,0.5,2,1382.4,2
July-S-54,NLFR,juv,2015-07-30,22:00,F,N,39,2015-08-03,4,19.8,22.93,929,0.5,3,1227.183673,2
July-S-56,TREE,juv,2015-07-30,22:00,F,S,32,2015-07-31,1,1.4,24.7,363,0.5,0,2610,2
July-S-58,NLFR,juv,2015-07-30,22:00,F,S,35,2015-08-12,13,96.4,20.46,2500,6.5,6,1750.2336,2
July-N-60,TREE,juv,2015-07-31,22:00,F,S,39,2015-08-01,1,5.8,23.8,404,0,0.5,2688,2
July-S-01,WOOD,adult,2015-07-13,22:00,F,N,48,2015-07-19,6,6.6,22.13,1250,3.5,2,2659.090909,2
July-S-03,NLFR,adult,2015-07-15,9:00,F,N,71,2015-07-22,7,10,19.78,1411,4,3,2667.857143,1
July-S-05,NLFR,juv,2015-07-15,18:00,F,S,46,2015-07-18,3,6.6,16.9,726,1.5,1,2664,2
July-N-07,GREN,M,2015-07-16,22:00,F,N,87,2015-07-18,2,5,22.97,565,0.5,1,2744,2
July-S-09,GREN,juv,2015-07-17,22:00,F,S,42,2015-07-19,2,5,17.8,606,0,1.5,2745,2
July-S-11,TOAD,adult,2015-07-17,22:00,F,S,91,2015-07-25,8,8.4,20.36,3387,4,3.5,2673,2
July-S-13,NLFR,adult,2015-07-17,22:00,F,S,75,2015-07-25,8,8.4,20.36,1654,4,3.5,2673,2
July-S-15,GREN,juv,2015-07-17,22:00,F,N,40,2015-07-23,6,8.4,22.26,1250,3,2.5,2671.363636,2
July-N-17,GREN,juv,2015-07-18,22:00,F,M,55,2015-07-22,4,8.4,21.12,887,2,1.5,2784,2
July-S-19,GREN,juv,2015-07-19,walk,F,S,41,2015-07-22,3,3.4,21.12,685,2,1,2655,1
July-S-21,TREE,adult,2015-07-19,22:00,F,N,34,2015-07-22,3,3.4,21.12,685,2,0.5,2637,2
July-S-23,NLFR,adult,2015-07-20,22:00,F,S,76,2015-07-30,10,15.2,22.21,1894,6.5,3,2652.631579,2
July-S-25,NLFR,adult,2015-07-20,22:00,F,N,94,2015-07-23,3,3.4,22.23,644,2.5,0,2610,2
July-S-27,TREE,F,2015-07-21,22:00,F,M,49,2015-07-22,1,3.2,21.8,322,0.5,0,2610,2
July-N-29,NLFR,adult,2015-07-26,9:00,H,M,80,2015-07-28,2,11.8,22.27,524,1,1,2772,1
July-N-31,WOOD,juv,2015-07-26,9:00,F,N,44,2015-07-31,5,13.2,23.3,1048,4,1,2637,1
July-N-33,WOOD,juv,2015-07-26,9:00,F,S,36,2015-07-31,5,13.2,23.3,1048,4,1,2822.4,1
July-N-35,GREN,adult,2015-07-28,22:00,F,N,100,2015-07-30,2,0,23.3,483,2,0,3808,2
July-S-37,WOOD,adult,2015-07-31,walk,F,N,58,2015-08-03,3,19.8,21.78,767,0,3,1734,1
August-S-02,NLFR,juv,2015-08-15,9:00,H,M,41,2015-08-20,5,3.2,23.4,1048,3,2,2174.4,1
August-S-04,NLFR,juv,2015-08-15,9:00,H,M,46,2015-08-22,7,32.4,22.78,1452,4,3,2193,1
August-S-06,TOAD,juv,2015-08-15,22:00,F,N,42,2015-08-16,1,0.6,22.3,404,0,0.5,2565,2
August-S-08,NLFR,adult,2015-08-15,22:00,F,N,56,2015-08-16,1,0.6,22.3,404,0,0.5,2565,2
August-N-10,NLFR,adult,2015-08-16,22:00,F,S,67,2015-08-24,8,31.8,21.82,1613,4,3.5,2265.2,2
August-S-12,NLFR,juv,2015-08-17,9:00,F,S,47,2015-08-24,7,31.8,21.81,1411,4,3,2193,1
August-S-14,NLFR,juv,2015-08-17,22:00,H,N,40,2015-08-20,3,2.6,23.95,644,2.5,0,1914,2
August-S-16,TREE,F,2015-08-17,22:00,H,N,48,2015-08-20,3,2.6,23.95,644,2.5,0,1367.142857,2
August-S-18,NLFR,juv,2015-08-17,22:00,H,N,54,2015-08-21,4,31.8,23.72,846,3.5,0,1914,2
August-S-20,TOAD,juv,2015-08-17,22:00,F,S,36,2015-08-21,4,31.8,23.72,846,3.5,0,1914,2
August-N-22,NLFR,juv,2015-08-18,22:00,F,M,37,2015-08-21,3,31.8,24.15,685,2.5,0,2184,2
August-S-24,GREN,F,2015-08-19,22:00,F,M,62,2015-08-20,1,2.6,23.87,322,0.5,0,1914,2
August-S-26,TREE,F,2015-08-19,22:00,F,N,50,2015-08-21,2,31.8,22.65,524,1.5,0,1914,2
August-S-01,BULL,juv,2015-08-12,walk,F,M,58,2015-08-28,16,37.6,20.78,3024,10,6,2158.125,1
August-N-03,NLFR,adult,2015-08-15,9:00,H,S,75,2015-08-16,1,0.6,22.3,404,0,1,2328,1
August-S-05,NLFR,juv,2015-08-16,9:00,F,N,36,2015-08-21,5,31.8,23.42,1048,4,1,2044.2,1
August-S-07,NLFR,juv,2015-08-16,walk,F,N,48,2015-08-21,5,31.8,23.42,1048,4,1,2044.2,1
August-N-09,NLFR,adult,2015-08-19,18:00,F,S,90,2015-08-20,1,2.6,23.54,322,0.5,0,2184,2
August-N-11,NLFR,adult,2015-08-19,22:00,F,N,56,2015-08-22,3,31.8,22.79,726,1.5,1,2241.6,2
August-N-13,NLFR,juv,2015-08-19,22:00,H,S,44,2015-08-24,5,31.8,21.25,1089,1.5,3,2280,2
August-N-15,GREN,adult,2015-08-19,22:00,F,M,86,2015-08-21,2,31.8,22.65,524,1.5,0,2184,2
August-S-17,GREN,adult,2015-08-19,22:00,H,S,68,2015-08-21,2,31.8,22.65,524,1.5,0,1914,2
August-S-19,GREN,juv,2015-08-19,22:00,F,M,43,2015-08-29,10,32.4,19.65,1976,5.5,4,2188.105263,2
